name,price,brand,description,quantity,featured,image_url,kind,category,country_origin
Blue Box,78,MXR,"The MXR Blue Box became the go-to octave effect and a gear icon after Jimmy Page used it for his solo in ""Fool In The Rain."" It's incredibly simple - two knobs for Output and Blend - one of those pedals that just does its thing and sounds good without a ton of dialing in. It tracks your notes and doubles with a two-octave down copy, providing a bassy, raw feel. Put it front of a fuzz and stand back.",200,FALSE,"https://images.reverb.com/image/upload/s--E68xpz0z--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1444846899/art7v8y8tesyl6mpjnnj.jpg",value,Fuzz,United States
Crayon Overdrive,80,Electro-Harmonix,"The Electro-Harmonix Crayon 69 is a solid, versatile overdrive that's made particularly flexible because of its independent bass and treble controls, which allow users to cut or boost those respective frequencies exactly to their tastes. The treble is great for giving your tone top-end definition, and it's easy to dial in tones suited for anything from twangy alt-country to gain-heavy metal.",200,FALSE,"https://images.reverb.com/image/upload/s--Z1IkFden--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1450387977/ldv4g9fueguabkjejyyv.jpg",value,Overdrive,United States
"Dark Matter ",88,Tc Electronic,"For distortion as versatile as the universe is wide, look no further than the TC Electronic Dark Matter Distortion. Great for all manner of distortion, this true-bypass TC Electronic pedal can cover classic crunch and full-on high-gain metal distortion tones alike.",200,FALSE,"https://images.reverb.com/image/upload/s--poUDEXVx--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1460393529/m0k0tzdnrtfrgpn4qfsq.jpg",value,Distortion,United States
Boss DS1 Distorion,76,Boss,"Arguably the most popular distortion pedal of all time, the ubiquitous Boss DS-1 is bulletproof, classic and affordable. Nearly every guitarist has had (or should have) at least one on his/her board at some point. Steve Vai even had two - one at the front of his chain and one at the end.",200,FALSE,"https://images.reverb.com/image/upload/s--_ZU-F992--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1460144086/lix2ymjfvqu120zbh80y.jpg",value,Distortion,United States
Flashback Mini Delay,54,Tc Electronic,"The TC Electronic Flashback Mini takes the renowned delay sounds of the hugely popular Flashback and stashes it a tiny enclosure. Though the onboard controls are simple—just knobs for Feedback, Delay, and Level—TC's TonePrint system allows you to beam in presets from their robust library to transform this pedal into virtually any flavor of delay you desire.",200,FALSE,"https://images.reverb.com/image/upload/s--z_xdT8p0--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1461602601/jv5tw3yjyvcqzdctdjwn.jpg",value,Delay,United States
Heavy Distortion HD300,65,Behringer,"The Behringer HD300 Heavy Metal Distortion Effects Pedal pushes distortion to the extreme by producing crushing, bottom-heavy distortion for modern metal and hard rock. Dual distortion with gain boost circuitry to give super thick and heavy distortion with brutal low-end punch and endless sustain. Outrageous Distortion In addition to providing loads of devastating distortion, this little sonic warhead allows to crank up the bottom-end and the gain, to lay waste to everything in your path",200,FALSE,"https://images.reverb.com/image/upload/s--nCfUQujR--/f_auto,t_supersize/v1523308533/qc6llhhvqqihd9twqyu4.jpg",value,Distortion,United States
Bad Monkey Tube Overdrive,89,Digitech,"The DigiTech Bad Monkey is a Tubescreamer-esque overdrive with separate high and low EQ controls. It includes a Mixer Output to go direct into a board or interface, with a cabinet simulator built in.",200,FALSE,"https://images.reverb.com/image/upload/s--MlcNrvTl--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1462388181/e4ox1u6uorw0ryldtmzs.jpg",value,Overdrive,United States
MXR Distortion Plus,53,MXR,"The Distortion + is a classic stompbox from MXR. At the end of the '70s, the MXR logo used on the model changed from a cursive or 'script' logo to a thicker block logo. The modern M-104 Distortion + is produced under the MXR name by Dunlop.",200,FALSE,"https://images.reverb.com/image/upload/s--T9hjyOk2--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1467734568/pgsfjlmvh8qjeb3iankj.jpg",value,Distortion,United States
Op Amp Big Muff,89,Electro-Harmonix,"Built in the image of the coveted late '70s models made famous on the Smashing Pumpkins' enormous album Siamese Dream, the Electro-Harmonix Op Amp Big Muff Reissue Fuzz summons iconic '90s snarl in a compact chassis. Renowned for its enormous, biting presence thanks to the presence of op-amps instead of transistors and three gain stages instead of four, this much-demanded Big Muff is a fast, affordable avenue to the vicious tone of a company classic.",10,TRUE,"https://images.reverb.com/image/upload/s--vVLQZt9g--/f_auto,t_supersize/v1551526197/cyqgjshymdtgubtpt4yj.jpg",value,Fuzz,United States
The Prophet Digital Delay,79,Tc Electronic,"The TC Electronic The Prophet Digital Delay Pedal is the company's time-based entry in the Smorgasbord of Tones series, offering a combination of studio quality and an attractive price tag. Housed in a sturdy metal chassis designed to withstand the demands of the road, the Prophet features controls for Time, Mix, and Repeats with a three-position subdivide switch for easily summoning sounds from a subtle slapback to an undulating wave of staggered tone.",200,FALSE,"https://images.reverb.com/image/upload/s--1P9xoS6u--/a_exif,c_limit,e_unsharp_mask:80,f_auto,fl_progressive,g_south,h_1600,q_80,w_1600/v1480979341/g8wcl67ifxdsdpwtrhif.png",value,Delay,United States
